Product ID,Product Name,Category Slug,Product Type,Description,Price (USD),SKU,Weight (kg),Stock Quantity,Brand,Is Published,Is Featured,SEO Title,SEO Description
P042,Lenovo Yoga 9i 14-inch 2-in-1,2-in-1-convertible-laptops,Physical,"Premium convertible with 14-inch 4K OLED touch display, Intel Core i7-1360P, 16GB RAM, 1TB SSD, rotating soundbar, and 360-degree hinge.",1749.00,LEN-YOGA9I-14,1.40,20,Lenovo,TRUE,FALSE,Lenovo Yoga 9i 14 OLED,Buy Lenovo Yoga 9i. 4K OLED 360-degree rotating soundbar.
P043,HP Chromebook 14,chromebooks,Physical,"Reliable Chromebook with 14-inch HD display, Intel Celeron N4120, 4GB RAM, 64GB eMMC, up to 13.5-hour battery, and Chrome OS auto-updates.",279.99,HP-CB14-CEL,1.47,80,HP,TRUE,FALSE,HP Chromebook 14,Shop HP Chromebook 14. Long battery Chrome OS affordable.
P044,ASUS Chromebook Flip CX5,chromebooks,Physical,"Premium 2-in-1 Chromebook with 15.6-inch Full HD touch display, Intel Core i5, 8GB RAM, 256GB SSD, stylus support, and 360-degree hinge.",599.99,ASU-CX5-FLIP,1.95,40,ASUS,TRUE,FALSE,ASUS Chromebook Flip CX5,Buy ASUS Chromebook Flip. 2-in-1 Full HD touch Intel Core i5.
P045,HP Z2 Tower G9 Workstation,tower-pcs,Physical,"Professional workstation with Intel Core i9-13900K, 64GB ECC RAM, NVIDIA RTX A5000, 1TB NVMe SSD, and ISV certified for CAD/CAM applications.",4299.00,HP-Z2-G9-TWR,12.50,10,HP,TRUE,FALSE,HP Z2 Tower G9 Workstation,Shop HP Z2 Tower. ISV certified RTX A5000 professional workstation.
P046,Apple Mac Mini M2 Pro,mini-pcs,Physical,"Compact powerhouse with Apple M2 Pro chip, 12-core CPU, 19-core GPU, 16GB unified memory, 512GB SSD, and extensive port selection.",1299.00,APL-MACMINI-M2P,1.18,50,Apple,TRUE,TRUE,Mac Mini M2 Pro,Buy Mac Mini M2 Pro. Compact powerful M2 Pro chip extensive ports.
P047,Intel NUC 13 Pro,mini-pcs,Physical,"Ultra-compact mini PC with Intel Core i7-1360P, upgradeable RAM and storage, Thunderbolt 4, WiFi 6E, and VESA mount included.",699.00,INT-NUC13-PRO,0.72,35,Intel,TRUE,FALSE,Intel NUC 13 Pro,Shop Intel NUC 13 Pro. Compact upgradeable Thunderbolt 4.
P048,Apple iMac 24-inch M3,all-in-one-pcs,Physical,"Stunning all-in-one with 24-inch 4.5K Retina display, Apple M3 chip, 8GB unified memory, 256GB SSD, 1080p FaceTime camera, and immersive 6-speaker sound.",1299.00,APL-IMAC24-M3,4.43,30,Apple,TRUE,TRUE,iMac 24-inch M3,Buy iMac 24 M3. 4.5K Retina display stunning all-in-one.
P049,HP Elite AiO 870 G9,all-in-one-pcs,Physical,"Business all-in-one with 27-inch 4K display, Intel Core i7-13700, 16GB RAM, 512GB SSD, pop-up privacy camera, and adjustable height stand.",1849.00,HP-AIO870-G9,8.20,15,HP,TRUE,FALSE,HP Elite AiO 870 G9,Shop HP Elite AiO. 27-inch 4K business all-in-one.
P050,HP Z8 Fury G5 AI Workstation,ai-ml-workstations,Physical,"Ultimate AI workstation with dual Intel Xeon, up to 4TB RAM, support for 4x NVIDIA RTX 6000 Ada GPUs, and liquid cooling option.",15999.00,HP-Z8-FURY-G5,25.00,5,HP,TRUE,FALSE,HP Z8 Fury G5 AI Workstation,Shop HP Z8 Fury. Multi-GPU AI workstation enterprise grade.
P051,AMD Ryzen 9 7950X3D Processor,cpus-processors,Physical,"World's fastest gaming processor with 3D V-Cache technology, 16 cores, 32 threads, 144MB total cache, and 5.7GHz max boost. AM5 socket.",549.99,AMD-R9-7950X3D,0.021,40,AMD,TRUE,TRUE,AMD Ryzen 9 7950X3D,Buy Ryzen 9 7950X3D. 3D V-Cache 16 cores fastest gaming.
P052,Intel Core i9-14900K Processor,cpus-processors,Physical,"Intel flagship processor with 24 cores (8P+16E), 32 threads, up to 6.0GHz, Intel Thread Director, and unlocked overclocking. LGA1700.",589.99,INT-i9-14900K,0.023,35,Intel,TRUE,FALSE,Intel Core i9-14900K,Shop Core i9-14900K. 24 cores 6.0GHz boost unlocked.
P053,AMD Ryzen 7 7800X3D Processor,cpus-processors,Physical,"Gaming-optimized processor with 3D V-Cache, 8 cores, 16 threads, 96MB L3 cache, 5.0GHz boost, and 120W TDP. AM5 socket.",399.99,AMD-R7-7800X3D,0.021,60,AMD,TRUE,FALSE,AMD Ryzen 7 7800X3D,Buy Ryzen 7 7800X3D. 3D V-Cache gaming optimized 8 cores.
P054,ASUS ROG Maximus Z790 Hero Motherboard,motherboards,Physical,"Premium Z790 ATX motherboard with DDR5, PCIe 5.0, WiFi 6E, 2.5G LAN, extensive RGB, and robust power delivery for overclocking.",629.99,ASU-MAX-Z790-HERO,1.45,20,ASUS,TRUE,FALSE,ASUS ROG Maximus Z790 Hero,Buy ROG Maximus Z790 Hero. DDR5 PCIe 5.0 WiFi 6E premium.
P055,MSI MAG B650 TOMAHAWK WiFi Motherboard,motherboards,Physical,"Feature-rich B650 ATX motherboard with DDR5, PCIe 4.0, WiFi 6E, 2.5G LAN, extended heatsinks, and M.2 Shield Frozr.",219.99,MSI-B650-TOMAHAWK,1.20,45,MSI,TRUE,FALSE,MSI MAG B650 TOMAHAWK WiFi,Shop MSI B650 TOMAHAWK. DDR5 WiFi 6E value gaming.
P056,Corsair Vengeance DDR5-6000 32GB Kit,ram-memory,Physical,"High-performance DDR5 kit (2x16GB) with Intel XMP 3.0, CL30 timings, compact heat spreader, and iCUE RGB compatibility.",159.99,COR-VNG-DDR5-32,0.045,100,Corsair,TRUE,FALSE,Corsair Vengeance DDR5-6000 32GB,Buy Corsair DDR5-6000. XMP 3.0 CL30 32GB kit.
P057,G.Skill Trident Z5 RGB DDR5-6400 64GB,ram-memory,Physical,"Premium DDR5 kit (2x32GB) with stunning RGB lighting, Intel XMP 3.0, CL32 timings, and dual-texture aluminum heat spreader.",299.99,GSK-TZ5-64-6400,0.065,50,G.Skill,TRUE,FALSE,G.Skill Trident Z5 RGB DDR5 64GB,Shop Trident Z5 DDR5-6400. RGB 64GB premium performance.
P058,Samsung 990 Pro 2TB NVMe SSD,nvme-ssds,Physical,"Flagship PCIe 4.0 NVMe SSD with 7450MB/s read, 6900MB/s write, advanced thermal control, and Samsung Magician software.",179.99,SAM-990PRO-2TB,0.009,120,Samsung,TRUE,TRUE,Samsung 990 Pro 2TB NVMe,Buy Samsung 990 Pro. 7450MB/s read PCIe 4.0 flagship.
P059,WD Black SN850X 1TB NVMe SSD,nvme-ssds,Physical,"High-performance gaming SSD with 7300MB/s read, Game Mode 2.0, optional heatsink model, and RGB lighting version available.",89.99,WD-SN850X-1TB,0.008,150,Western Digital,TRUE,FALSE,WD Black SN850X 1TB,Shop WD SN850X. 7300MB/s gaming optimized NVMe.
P060,Crucial MX500 2TB SATA SSD,sata-ssds,Physical,"Reliable SATA SSD with 560MB/s sequential reads, AES 256-bit encryption, power loss immunity, and 5-year warranty.",149.99,CRU-MX500-2TB,0.070,100,Crucial,TRUE,FALSE,Crucial MX500 2TB SATA SSD,Buy Crucial MX500. Reliable 2TB SATA encrypted.
P061,Seagate IronWolf Pro 16TB NAS HDD,nas-drives,Physical,"Enterprise NAS hard drive with 7200RPM, 256MB cache, AgileArray technology, 300TB/year workload rating, and 5-year warranty.",349.99,SEA-IWP-16TB,0.680,40,Seagate,TRUE,FALSE,Seagate IronWolf Pro 16TB NAS,Shop IronWolf Pro 16TB. Enterprise NAS 300TB/year workload.
P062,Samsung T7 Shield 2TB Portable SSD,external-ssds,Physical,"Rugged portable SSD with IP65 water/dust resistance, 1050MB/s transfer, USB 3.2 Gen 2, drop-resistant rubber exterior, and password protection.",189.99,SAM-T7-SHIELD-2TB,0.098,80,Samsung,TRUE,FALSE,Samsung T7 Shield 2TB Portable,Buy Samsung T7 Shield. Rugged 1050MB/s portable SSD.
P063,NVIDIA GeForce RTX 4090 Founders Edition,graphics-cards,Physical,"Ultimate gaming GPU with 24GB GDDR6X, Ada Lovelace architecture, DLSS 3, ray tracing, and dual-fan Founders Edition cooling design.",1599.99,NV-RTX4090-FE,2.10,15,NVIDIA,TRUE,TRUE,NVIDIA GeForce RTX 4090 FE,Shop RTX 4090 FE. 24GB ultimate gaming Ada Lovelace DLSS 3.
P064,AMD Radeon RX 7900 XTX,graphics-cards,Physical,"Flagship AMD GPU with 24GB GDDR6, RDNA 3 architecture, DisplayPort 2.1, AV1 encoding, and dual-fan reference design.",999.99,AMD-RX7900XTX,0.345,25,AMD,TRUE,FALSE,AMD Radeon RX 7900 XTX,Buy RX 7900 XTX. 24GB RDNA 3 DisplayPort 2.1.
P065,NVIDIA GeForce RTX 4070 Super,graphics-cards,Physical,"Sweet spot gaming GPU with 12GB GDDR6X, excellent 1440p performance, DLSS 3, low power consumption, and compact design.",599.99,NV-RTX4070S,0.285,50,NVIDIA,TRUE,FALSE,NVIDIA GeForce RTX 4070 Super,Shop RTX 4070 Super. 12GB 1440p gaming DLSS 3 efficient.
P066,Elgato 4K60 Pro MK.2 Capture Card,capture-cards,Physical,"Internal PCIe capture card with 4K60 HDR10 passthrough, 1080p60 recording, instant gameview, flashback recording, and OBS/XSplit integration.",249.99,ELG-4K60PRO-MK2,0.145,30,Elgato,TRUE,FALSE,Elgato 4K60 Pro MK.2 Capture Card,Buy Elgato 4K60 Pro. 4K60 HDR capture streaming recording.
P067,Corsair RM1000x 2021 Power Supply,power-supply-units,Physical,"1000W 80+ Gold fully modular PSU with Zero RPM fan mode, 105°C-rated capacitors, Corsair Link support, and 10-year warranty.",189.99,COR-RM1000X,1.65,40,Corsair,TRUE,FALSE,Corsair RM1000x 1000W PSU,Shop Corsair RM1000x. 80+ Gold modular silent 10-year warranty.
P068,Seasonic PRIME TX-850 Power Supply,power-supply-units,Physical,"850W 80+ Titanium fully modular PSU with highest efficiency rating, Hybrid Fan Control, premium components, and 12-year warranty.",239.99,SEA-TX850,1.58,25,Seasonic,TRUE,FALSE,Seasonic PRIME TX-850 Titanium,Buy Seasonic PRIME TX-850. 80+ Titanium top efficiency 12-year.
P069,Noctua NH-D15 chromax.black CPU Cooler,air-coolers,Physical,"Premium dual-tower CPU cooler with dual NF-A15 140mm fans, 6 heatpipes, SecuFirm2 mounting, and all-black chromax design.",109.99,NOC-NHD15-BLK,1.32,60,Noctua,TRUE,TRUE,Noctua NH-D15 chromax.black,Shop Noctua NH-D15. Dual-tower premium cooling quiet.
P070,be quiet! Dark Rock Pro 5,air-coolers,Physical,"High-performance tower cooler with 270W TDP rating, silent Wings PWM fans, 7 copper heatpipes, and brushed aluminum top cover.",89.99,BQ-DARKROCKPRO5,1.13,45,be quiet!,TRUE,FALSE,be quiet! Dark Rock Pro 5,Buy Dark Rock Pro 5. 270W TDP silent premium cooling.
P071,NZXT Kraken X73 RGB 360mm AIO,liquid-coolers,Physical,"360mm AIO liquid cooler with infinity mirror LCD pump head, 3x Aer RGB 2 fans, CAM software control, and 6-year warranty.",249.99,NZXT-X73-RGB,1.35,35,NZXT,TRUE,FALSE,NZXT Kraken X73 RGB 360mm AIO,Shop NZXT Kraken X73. 360mm AIO LCD pump RGB fans.
P072,Corsair iCUE H150i Elite Capellix XT,liquid-coolers,Physical,"360mm AIO with magnetic dome cap RGB pump head, 3x ML120 RGB Elite fans, Commander CORE controller, and iCUE software.",259.99,COR-H150I-CAPX,1.45,30,Corsair,TRUE,FALSE,Corsair iCUE H150i Elite Capellix XT,Buy Corsair H150i Capellix. 360mm AIO RGB iCUE control.
P073,Lian Li Uni Fan SL-Infinity 120 3-Pack,case-fans,Physical,"Innovative infinity mirror RGB fans with daisy-chain cable system, 2100RPM max, PWM control, and stunning visual effects. 3-pack.",94.99,LL-SLINF-3PK,0.285,80,Lian Li,TRUE,FALSE,Lian Li Uni Fan SL-Infinity 3-Pack,Shop Lian Li Uni Fan. Infinity mirror daisy-chain 3-pack.
P074,Thermal Grizzly Kryonaut Thermal Paste 1g,thermal-paste,Physical,"Ultra-high performance thermal compound with 12.5 W/mK conductivity, no cure time, and stable from -200°C to +350°C.",9.99,TG-KRYONAUT-1G,0.015,300,Thermal Grizzly,TRUE,FALSE,Thermal Grizzly Kryonaut 1g,Buy Thermal Grizzly Kryonaut. 12.5 W/mK top performance.
