Level,Category ID,Category Name,Parent Category ID,Slug,Description,SEO Title,SEO Description,Is Active
4,1020207,Charging Docks,10202,charging-docks,"Multi-device charging docks and stations. Charge your phone, watch, and earbuds simultaneously in one organized spot.","Charging Docks | Multi-Device Stations","Shop charging docks. Multi-device charging stations. Phone, watch, earbuds in one place.",TRUE
4,1020208,Multi-Port Chargers,10202,multi-port-chargers,"Desktop charging stations with multiple USB ports. Power up to 6 devices simultaneously for family or office use.","Multi-Port Chargers | USB Charging Stations","Shop multi-port chargers. Charge up to 6 devices. Perfect for family or office.",TRUE
3,10203,Cables & Connectivity,102,cables-connectivity,"High-quality charging and data cables, adapters, and connectivity accessories for seamless device connections.","Phone Cables | USB-C, Lightning Cables","Shop phone cables and adapters. USB-C, Lightning, OTG adapters. Fast data transfer.",TRUE
4,1020301,USB-C Cables,10203,usb-c-cables,"Durable USB-C cables with fast charging and high-speed data transfer. Various lengths and braided options available.","USB-C Cables | USB Type-C Cables","Shop USB-C cables. Fast charging, data transfer. Braided, various lengths.",TRUE
4,1020302,Lightning Cables,10203,lightning-cables,"MFi-certified Lightning cables for iPhone and iPad. Fast charging and reliable data sync with Apple devices.","Lightning Cables | iPhone Charger Cables","Shop Lightning cables. MFi-certified for iPhone/iPad. Fast charging, durable.",TRUE
4,1020303,OTG Adapters,10203,otg-adapters,"USB OTG (On-The-Go) adapters to connect USB drives, keyboards, and other peripherals directly to your smartphone.","OTG Adapters | USB On-The-Go","Shop OTG adapters. Connect USB devices to your phone. USB-C, Micro USB options.",TRUE
4,1020304,SIM Card Adapters,10203,sim-card-adapters,"SIM card adapters and tools for converting between Nano, Micro, and Standard SIM sizes. Includes ejector pin tools.","SIM Card Adapters | SIM Converters","Shop SIM card adapters. Nano to Micro, Micro to Standard. Ejector tools included.",TRUE
4,1020305,USB-C Hubs,10203,usb-c-hubs,"Portable USB-C hubs expanding your phone's connectivity with USB, HDMI, SD card, and ethernet ports.","USB-C Hubs | Phone Docking Hubs","Shop USB-C hubs for phones. Add USB, HDMI, SD card ports. Portable connectivity.",TRUE
3,10204,Audio Accessories,102,audio-accessories,"Premium audio accessories including wireless earbuds, wired earphones, and microphones for calls and content creation.","Audio Accessories | Earbuds & Earphones","Shop audio accessories. Wireless earbuds, wired earphones, microphones for phones.",TRUE
4,1020401,Wired Earphones,10204,wired-earphones,"High-fidelity wired earphones with 3.5mm jack or USB-C connection. Zero latency audio for gaming and music.","Wired Earphones | In-Ear Headphones","Shop wired earphones. 3.5mm, USB-C. Hi-Fi audio, zero latency.",TRUE
4,1020402,Wireless Earbuds,10204,wireless-earbuds,"True wireless earbuds with active noise cancellation, transparency mode, and long battery life. Premium audio on the go.","Wireless Earbuds | TWS Earbuds","Shop wireless earbuds. ANC, transparency mode. Premium sound, long battery.",TRUE
4,1020403,Neckband Earphones,10204,neckband-earphones,"Wireless neckband earphones combining convenience with all-day comfort. Quick pairing and extended battery life.","Neckband Earphones | Wireless Neckbands","Shop neckband earphones. Wireless, comfortable. Long battery, quick pairing.",TRUE
4,1020404,Lavalier Microphones,10204,lavalier-microphones,"Professional lavalier and lapel microphones for content creation, vlogging, and video calls. Wireless and wired options.","Lavalier Microphones | Lapel Mics","Shop lavalier microphones. Professional audio for content creators. Wireless options.",TRUE
3,10205,Mounts & Holders,102,mounts-holders,"Secure phone mounts and holders for car, bike, desk, and more. Keep your device accessible and safely positioned.","Phone Mounts | Car & Desk Holders","Shop phone mounts and holders. Car mounts, bike mounts, desk stands. Secure positioning.",TRUE
4,1020501,Car Phone Holders,10205,car-phone-holders,"Secure car phone mounts for dashboard, windshield, air vent, and CD slot. Hands-free navigation while driving.","Car Phone Holders | Car Mounts","Shop car phone holders. Dashboard, vent, windshield mounts. Safe hands-free driving.",TRUE
4,1020502,Bike Phone Mounts,10205,bike-phone-mounts,"Sturdy bike and motorcycle phone mounts with vibration dampening. Weather-resistant for outdoor cycling and riding.","Bike Phone Mounts | Motorcycle Holders","Shop bike phone mounts. Secure, vibration-dampened. Weather-resistant for cycling.",TRUE
4,1020503,Desk Phone Stands,10205,desk-phone-stands,"Adjustable desk phone stands for video calls, content viewing, and workspace organization. Multiple viewing angles.","Desk Phone Stands | Tablet Stands","Shop desk phone stands. Adjustable angles, stable base. Perfect for video calls.",TRUE
1,2,Computers Laptops & Workstations,,computers-laptops-workstations,"Shop laptops, desktop computers, and professional workstations. From ultrabooks to gaming rigs, find the perfect computer for work, study, or play.","Computers & Laptops | Buy PCs Online","Shop laptops, desktops, workstations. Gaming PCs, business laptops, all-in-ones. Top brands.",TRUE
2,201,Laptops,2,laptops,"Discover laptops for every need - ultraportable notebooks, powerful gaming machines, business workhorses, and budget-friendly options.","Laptops | Notebooks for Work & Gaming","Shop laptops. Ultrabooks, gaming laptops, 2-in-1s. All budgets, top performance.",TRUE
3,20101,Ultrabooks,201,ultrabooks,"Ultra-thin and lightweight laptops with premium build quality, long battery life, and powerful performance for professionals on the move.","Ultrabooks | Thin & Light Laptops","Shop ultrabooks. Ultra-thin, lightweight. Premium performance, all-day battery.",TRUE
3,20102,Business Laptops,201,business-laptops,"Enterprise-grade business laptops with enhanced security, docking support, and reliability. ThinkPad, Latitude, EliteBook series.","Business Laptops | Enterprise Notebooks","Shop business laptops. Enterprise security, docking support. ThinkPad, EliteBook.",TRUE
3,20103,Student Laptops,201,student-laptops,"Affordable and reliable laptops perfect for students. Balance of performance, portability, and price for academic success.","Student Laptops | Budget Notebooks","Shop student laptops. Affordable, portable, reliable. Perfect for school and college.",TRUE
3,20104,Gaming Laptops,201,gaming-laptops,"High-performance gaming laptops with dedicated GPUs, high refresh displays, and advanced cooling for immersive gaming anywhere.","Gaming Laptops | RTX Gaming Notebooks","Shop gaming laptops. RTX graphics, high refresh displays. Game anywhere.",TRUE
3,20105,Workstation Laptops,201,workstation-laptops,"Mobile workstations with professional GPUs and ECC memory for CAD, 3D rendering, video editing, and scientific computing.","Workstation Laptops | Mobile Workstations","Shop workstation laptops. Professional GPUs, ECC memory. CAD, 3D, video editing.",TRUE
3,20106,2-in-1 Convertible Laptops,201,2-in-1-convertible-laptops,"Versatile 2-in-1 laptops that transform between laptop and tablet modes. Touch screens with stylus support for flexibility.","2-in-1 Laptops | Convertible Notebooks","Shop 2-in-1 laptops. Laptop and tablet modes. Touch screen, stylus support.",TRUE
3,20107,Chromebooks,201,chromebooks,"Fast-booting Chromebooks running Chrome OS. Simple, secure, and always up to date with Google integration.","Chromebooks | Chrome OS Laptops","Shop Chromebooks. Fast boot, secure, Google integrated. Simple and affordable.",TRUE
3,20108,Refurbished Laptops,201,refurbished-laptops,"Certified refurbished laptops professionally tested and restored. Premium brands at significant savings with warranty.","Refurbished Laptops | Certified Pre-Owned","Shop refurbished laptops. Certified, tested, warranty. Save on premium brands.",TRUE
2,202,Desktop Computers,2,desktop-computers,"Desktop computers from compact mini PCs to powerful towers. Pre-built systems and customizable options for any use case.","Desktop Computers | Tower PCs & All-in-Ones","Shop desktop computers. Tower PCs, mini PCs, all-in-ones. Custom builds available.",TRUE
3,20201,Tower PCs,202,tower-pcs,"Traditional tower desktop PCs with full upgradeability and expansion options. Maximum performance and cooling capacity.","Tower PCs | Full Tower Desktops","Shop tower PCs. Full upgradeability, maximum performance. Expandable and powerful.",TRUE
3,20202,Small Form Factor PCs,202,small-form-factor-pcs,"Compact SFF desktop computers balancing performance with space efficiency. Perfect for clean, minimalist setups.","Small Form Factor PCs | Compact Desktops","Shop small form factor PCs. Compact design, full performance. Space-efficient.",TRUE
3,20203,All-in-One PCs,202,all-in-one-pcs,"Sleek all-in-one computers with integrated displays. Clean aesthetics with minimal cables for modern workspaces.","All-in-One PCs | AIO Computers","Shop all-in-one PCs. Built-in display, minimal cables. Sleek modern design.",TRUE
3,20204,Mini PCs,202,mini-pcs,"Ultra-compact mini PCs that pack full desktop capabilities in palm-sized designs. VESA mountable for space savings.","Mini PCs | Compact Desktop Computers","Shop mini PCs. Ultra-compact, VESA mountable. Full desktop power, tiny footprint.",TRUE
3,20205,Custom-Built PCs,202,custom-built-pcs,"Custom-configured desktop PCs built to your specifications. Choose components for gaming, content creation, or professional work.","Custom-Built PCs | Build Your Own PC","Shop custom-built PCs. Configure your specs. Gaming, workstation, office builds.",TRUE
2,203,Workstations,2,workstations,"Professional workstations for demanding applications. Certified systems for engineering, 3D rendering, AI/ML, and scientific computing.","Workstations | Professional Computers","Shop workstations. CAD, 3D rendering, AI/ML. ISV certified, professional grade.",TRUE
3,20301,Engineering Workstations,203,engineering-workstations,"CAD-certified workstations optimized for engineering software. Solidworks, AutoCAD, and CATIA certified configurations.","Engineering Workstations | CAD Computers","Shop engineering workstations. CAD certified, professional GPUs. Solidworks, AutoCAD ready.",TRUE
3,20302,3D Rendering Workstations,203,3d-rendering-workstations,"High-performance workstations for 3D rendering and animation. Optimized for Blender, Maya, Cinema 4D, and V-Ray.","3D Rendering Workstations | Animation PCs","Shop 3D rendering workstations. High-performance for animation. Blender, Maya optimized.",TRUE
3,20303,AI & ML Workstations,203,ai-ml-workstations,"GPU-accelerated workstations for artificial intelligence and machine learning development. Multi-GPU configurations available.","AI & ML Workstations | Deep Learning PCs","Shop AI/ML workstations. Multi-GPU, high memory. Deep learning, data science ready.",TRUE
1,3,Computer Components & PC Hardware,,computer-components-pc-hardware,"Build or upgrade your PC with quality components. CPUs, GPUs, motherboards, RAM, storage, and cooling solutions from top manufacturers.","PC Components | Build Your Own PC","Shop PC components. CPUs, GPUs, motherboards, RAM, SSDs. Build or upgrade your PC.",TRUE
2,301,Processing & Core Components,3,processing-core-components,"Essential processing components including CPUs, motherboards, and chipsets. The foundation of every computer build.","CPUs & Motherboards | Processing Components","Shop CPUs and motherboards. Intel, AMD processors. Gaming and workstation boards.",TRUE
3,30101,CPUs / Processors,301,cpus-processors,"Desktop and laptop processors from Intel and AMD. From budget chips to flagship gaming and workstation CPUs.","CPUs | Intel & AMD Processors","Shop CPUs. Intel Core, AMD Ryzen. Gaming, workstation processors. All generations.",TRUE
3,30102,Motherboards,301,motherboards,"Desktop motherboards in ATX, Micro-ATX, and Mini-ITX form factors. Intel and AMD chipsets with latest features.","Motherboards | Gaming & Workstation Boards","Shop motherboards. ATX, Micro-ATX, Mini-ITX. Intel, AMD chipsets.",TRUE
3,30103,Chipsets,301,chipsets,"Replacement chipsets and specialized processing chips for repairs and custom builds.","Chipsets | Replacement Chips","Shop chipsets. Replacement and upgrade chips. Specialized processing components.",TRUE
2,302,Memory & Storage,3,memory-storage,"RAM modules and storage drives for system building and upgrades. DDR4/DDR5 memory, SSDs, HDDs, and NAS drives.","RAM & Storage | Memory & SSDs","Shop RAM and storage. DDR4, DDR5 memory. NVMe SSDs, HDDs, NAS drives.",TRUE
3,30201,RAM Memory,302,ram-memory,"Desktop and laptop RAM modules. DDR3, DDR4, and DDR5 memory in various speeds and capacities.","RAM Memory | DDR4 & DDR5 Modules","Shop RAM. DDR3, DDR4, DDR5. Desktop and laptop memory. All capacities.",TRUE
3,30202,Hard Disk Drives,302,hard-disk-drives,"Traditional HDD storage for mass data storage. High capacity drives for NAS, surveillance, and desktop use.","Hard Disk Drives | HDD Storage","Shop hard drives. High capacity HDDs. NAS, surveillance, desktop drives.",TRUE
3,30203,SATA SSDs,302,sata-ssds,"2.5-inch SATA solid-state drives for system upgrades. Reliable performance boost over traditional hard drives.","SATA SSDs | 2.5 Inch Solid State Drives","Shop SATA SSDs. 2.5-inch form factor. Reliable upgrade for any system.",TRUE
3,30204,NVMe SSDs,302,nvme-ssds,"High-speed NVMe M.2 solid-state drives with PCIe Gen3/Gen4/Gen5 interface. Ultra-fast boot and load times.","NVMe SSDs | M.2 Solid State Drives","Shop NVMe SSDs. M.2 PCIe Gen4/Gen5. Ultra-fast performance.",TRUE
3,30205,External SSDs,302,external-ssds,"Portable external SSDs with USB-C and Thunderbolt connectivity. Fast, rugged storage for on-the-go professionals.","External SSDs | Portable Solid State Drives","Shop external SSDs. USB-C, Thunderbolt. Portable, fast, rugged storage.",TRUE
3,30206,NAS Drives,302,nas-drives,"NAS-optimized hard drives designed for 24/7 operation in network attached storage systems. CMR technology for reliability.","NAS Drives | Network Storage HDDs","Shop NAS drives. 24/7 rated, CMR technology. Reliable network storage.",TRUE
2,303,Graphics & Display,3,graphics-display,"Graphics cards and video capture solutions. From entry-level GPUs to flagship cards for gaming and content creation.","Graphics Cards | GPUs & Capture Cards","Shop graphics cards. NVIDIA GeForce, AMD Radeon. Gaming and professional GPUs.",TRUE
3,30301,Graphics Cards,303,graphics-cards,"Desktop graphics cards from NVIDIA and AMD. GeForce RTX, Radeon RX series for gaming, streaming, and creative work.","Graphics Cards | NVIDIA & AMD GPUs","Shop graphics cards. RTX 4090, 4080, Radeon RX. Gaming and workstation GPUs.",TRUE
3,30302,Capture Cards,303,capture-cards,"Video capture cards for streaming, recording, and content creation. Internal PCIe and external USB options.","Capture Cards | Game Capture Devices","Shop capture cards. Stream and record gameplay. Internal and external options.",TRUE
2,304,Power & Cooling,3,power-cooling,"Power supply units and cooling solutions. ATX power supplies, CPU coolers, case fans, and thermal compounds.","PSUs & Cooling | Power Supplies & Coolers","Shop PSUs and cooling. Power supplies, CPU coolers, case fans. Thermal paste.",TRUE
3,30401,Power Supply Units,304,power-supply-units,"ATX and SFX power supplies from 450W to 1600W. 80+ efficiency ratings from Bronze to Titanium. Modular options.","Power Supply Units | ATX PSUs","Shop power supplies. 450W to 1600W. 80+ Bronze to Titanium. Modular PSUs.",TRUE
3,30402,Air Coolers,304,air-coolers,"CPU air coolers from compact low-profile to massive tower designs. Quiet operation with excellent thermal performance.","Air Coolers | CPU Tower Coolers","Shop air coolers. Tower coolers, low-profile. Quiet, effective cooling.",TRUE
3,30403,Liquid Coolers,304,liquid-coolers,"AIO liquid coolers and custom water cooling components. Superior cooling for overclocked and high-performance systems.","Liquid Coolers | AIO Water Cooling","Shop liquid coolers. AIO, custom loops. Superior cooling performance.",TRUE
3,30404,Case Fans,304,case-fans,"Airflow and static pressure case fans in 80mm to 200mm sizes. RGB lighting options for aesthetic builds.","Case Fans | PC Cooling Fans","Shop case fans. 80mm to 200mm. RGB, quiet operation. Airflow and static pressure.",TRUE
3,30405,Thermal Paste,304,thermal-paste,"High-performance thermal compounds and pads. Essential for CPU and GPU cooling efficiency.","Thermal Paste | Thermal Compound","Shop thermal paste. High-performance compounds. CPU and GPU application.",TRUE
2,305,Cases & Accessories,3,cases-accessories,"PC cases from compact Mini-ITX to full tower. RGB lighting, cable management, and building accessories.","PC Cases | Computer Enclosures","Shop PC cases. Mini-ITX, ATX, Full Tower. RGB, tempered glass, mesh front.",TRUE
3,30501,PC Cases,305,pc-cases,"Desktop computer cases in all form factors. Gaming aesthetics to professional minimalism. Excellent airflow designs.","PC Cases | ATX & Mini-ITX Enclosures","Shop PC cases. ATX, Micro-ATX, Mini-ITX. Gaming, professional designs.",TRUE
3,30502,RGB Lighting,305,rgb-lighting,"Addressable RGB lighting strips, fans, and accessories. Sync with motherboard software for custom lighting effects.","RGB Lighting | PC LED Strips","Shop RGB lighting. LED strips, RGB fans. ARGB, sync with motherboard.",TRUE
3,30503,Cable Management,305,cable-management-kits,"Cable management solutions including extensions, combs, and sleeved cables for clean, professional builds.","Cable Management | Sleeved Cables","Shop cable management. Sleeved extensions, cable combs. Clean professional builds.",TRUE
1,4,Displays & Monitors,,displays-monitors,"Computer monitors and display accessories for gaming, professional work, and general productivity. All sizes and resolutions.","Monitors | Computer Displays","Shop monitors. Gaming, office, ultrawide. 4K, curved, high refresh rate displays.",TRUE
2,401,Monitors,4,monitors,"LCD, LED, and OLED monitors in various sizes, resolutions, and panel types. From office displays to pro-grade monitors.","Computer Monitors | LCD & LED Displays","Shop monitors. Office, gaming, creative. All sizes, resolutions, panel types.",TRUE
3,40101,Office Monitors,401,office-monitors,"Productivity-focused monitors with eye care features, ergonomic stands, and USB-C connectivity for modern workflows.","Office Monitors | Work Displays","Shop office monitors. Eye care, USB-C hub. Ergonomic, productivity-focused.",TRUE
3,40102,Gaming Monitors,401,gaming-monitors,"High refresh rate gaming monitors with low response times. FreeSync and G-Sync support for smooth gameplay.","Gaming Monitors | High Refresh Rate Displays","Shop gaming monitors. 144Hz, 240Hz, 360Hz. G-Sync, FreeSync. Low response time.",TRUE
3,40103,Ultrawide Monitors,401,ultrawide-monitors,"Immersive 21:9 and 32:9 ultrawide monitors for gaming, productivity, and content creation. Replace dual monitor setups.","Ultrawide Monitors | 21:9 & 32:9 Displays","Shop ultrawide monitors. 21:9, 32:9 aspect ratio. Immersive gaming and productivity.",TRUE
3,40104,Curved Monitors,401,curved-monitors,"Curved displays providing immersive viewing experience. VA and IPS panels with various curvature options.","Curved Monitors | Immersive Displays","Shop curved monitors. 1000R, 1500R curvature. Immersive gaming and entertainment.",TRUE
3,40105,Touchscreen Monitors,401,touchscreen-monitors,"Interactive touchscreen displays for creative work, presentations, and point-of-sale applications.","Touchscreen Monitors | Interactive Displays","Shop touchscreen monitors. Multi-touch, interactive. Creative and business use.",TRUE
3,40106,Portable Monitors,401,portable-monitors,"Lightweight portable monitors for laptop extension on the go. USB-C powered with built-in stands or covers.","Portable Monitors | Travel Displays","Shop portable monitors. USB-C powered, lightweight. Extend your laptop anywhere.",TRUE
2,402,Display Accessories,4,display-accessories,"Monitor mounting solutions, privacy screens, and display accessories for optimal viewing and workspace organization.","Monitor Accessories | Arms & Stands","Shop monitor accessories. Monitor arms, stands, privacy filters. Ergonomic setup.",TRUE
3,40201,Monitor Arms,402,monitor-arms,"Adjustable monitor arms and mounts for single and multi-display setups. VESA compatible with full articulation.","Monitor Arms | Desk Mount Arms","Shop monitor arms. Single, dual, triple mounts. VESA compatible, full articulation.",TRUE
3,40202,Monitor Stands,402,monitor-stands,"Desktop monitor stands and risers with storage space. Elevate your display to ergonomic height.","Monitor Stands | Display Risers","Shop monitor stands. Risers with storage. Ergonomic height, organized desk.",TRUE
3,40203,Privacy Filters,402,screen-privacy-filters,"Screen privacy filters blocking side-angle viewing. Protect sensitive information in open offices and public spaces.","Privacy Filters | Screen Guards","Shop privacy filters. Block side viewing. Protect sensitive data on screen.",TRUE
1,5,Tablets & E-Readers,,tablets-e-readers,"Tablets and e-readers for entertainment, productivity, and reading. iPads, Android tablets, and dedicated e-ink devices.","Tablets & E-Readers | iPad & Android","Shop tablets and e-readers. iPads, Android tablets, Kindle. Entertainment and productivity.",TRUE
2,501,Tablets,5,tablets,"Full-featured tablets for work and play. iPads, Android tablets, and Windows devices with stylus support.","Tablets | iPad & Android Tablets","Shop tablets. iPads, Samsung Galaxy Tab, Surface. All sizes and capabilities.",TRUE
3,50101,Android Tablets,501,android-tablets,"Android tablets from Samsung, Lenovo, and more. Various sizes with stylus support and productivity features.","Android Tablets | Samsung Galaxy Tab","Shop Android tablets. Samsung, Lenovo. Entertainment and productivity.",TRUE
3,50102,iPads,501,ipads,"Apple iPad lineup including iPad Pro, iPad Air, iPad mini, and standard iPad. Apple Pencil support across models.","iPads | iPad Pro, Air & Mini","Shop iPads. iPad Pro, Air, mini. Apple Pencil support, M-series chips.",TRUE
3,50103,Windows Tablets,501,windows-tablets,"Windows tablets and detachables running full Windows OS. Surface Pro and alternatives for laptop replacement.","Windows Tablets | Surface Pro","Shop Windows tablets. Surface Pro, alternatives. Full Windows productivity.",TRUE
3,50104,Kids Tablets,501,kids-tablets,"Durable tablets designed for children with parental controls, educational content, and kid-proof cases.","Kids Tablets | Child-Friendly Tablets","Shop kids tablets. Parental controls, educational apps. Durable, kid-proof design.",TRUE
2,502,E-Readers,5,e-readers,"E-ink e-readers for comfortable long-form reading. Kindle, Kobo, and note-taking devices with paper-like displays.","E-Readers | Kindle & E-Ink Devices","Shop e-readers. Kindle, Kobo. E-ink displays, weeks of battery life.",TRUE
3,50201,E-Ink Readers,502,e-ink-readers,"Dedicated e-readers with E Ink displays. Glare-free reading with weeks of battery life. Built-in light for any environment.","E-Ink Readers | Kindle & Kobo","Shop e-ink readers. Glare-free, long battery. Comfortable reading experience.",TRUE
3,50202,Note-Taking E-Readers,502,note-taking-e-readers,"Large-screen e-readers with stylus for digital note-taking. Replace paper notebooks with E Ink writing tablets.","Note-Taking E-Readers | Digital Notebooks","Shop note-taking e-readers. Stylus input, large screens. Digital paper experience.",TRUE
2,503,Tablet Accessories,5,tablet-accessories,"Tablet keyboards, styluses, docks, and protective accessories. Maximize your tablet's productivity potential.","Tablet Accessories | Keyboards & Stylus","Shop tablet accessories. Keyboards, stylus pens, docks. Enhance productivity.",TRUE
